receiver_point_number,tx_number,rx_grid_number,csi_magnitude_dBm,csi_phase_rad,x_loc,y_loc,z_loc
5,20,35,-54.86382596993458,-2.698177274819261,0.39505000000000007,0.0,0.45
5,20,36,-76.5543869580774,2.0197934679358314,0.39505000000000007,0.0,0.39999999999999997
5,20,37,-54.83073767980187,2.996624016129268,0.8146525,0.0046074999999998765,0.3499999999999999
5,20,38,-54.67614427161181,1.2868546536109757,0.8146525,0.0046074999999998765,0.3000000000000001
5,20,39,-53.81379948785466,-2.3460685070503935,0.8146525,0.0046074999999998765,0.25000000000000006
5,20,40,-53.6803570002002,-1.5127660736798823,0.8146525,0.0046074999999998765,0.19999999999999998
5,20,41,-53.90055328459748,-2.356584038540091,0.8146525,0.0046074999999998765,0.14999999999999994
5,20,42,-54.79759488892944,1.2688213411467897,0.8146525,0.0046074999999998765,0.09999999999999999
5,20,43,-54.66649688989257,3.0742774909684916,0.8146525,0.0046074999999998765,0.04999999999999994
6,20,22,-51.103540086867724,-2.538719422852893,0.6979925,0.1618875,0.07499999999999997
6,20,24,-52.942412723832035,-0.8906095023557633,0.25000000000000006,0.28643749999999996,0.45
6,20,25,-52.07183752427514,3.0960853505632833,0.25000000000000006,0.28643749999999996,0.39999999999999997
6,20,26,-51.54700828659139,-1.1213955523830461,0.25000000000000006,0.28643749999999996,0.3499999999999999
6,20,28,-52.046920633390414,-1.2509303592194803,0.25000000000000006,0.28643749999999996,0.3000000000000001
6,20,29,-51.0124753716937,2.588993925206689,0.25000000000000006,0.28643749999999996,0.25000000000000006
6,20,30,-50.83804226343139,-2.472594793140676,0.25000000000000006,0.28643749999999996,0.19999999999999998
6,20,31,-50.976970050094636,2.5992458947752364,0.25000000000000006,0.28643749999999996,0.14999999999999994
6,20,32,-51.9648577179684,-1.2248313753532083,0.25000000000000006,0.28643749999999996,0.09999999999999999
6,20,33,-51.484522525147966,-1.1143991684606205,0.25000000000000006,0.28643749999999996,0.04999999999999994
6,20,34,-52.084454729713386,3.05527494572045,0.25000000000000006,0.28643749999999996,0.0
6,20,35,-55.44448613412858,1.9754130611470875,0.44505,0.0,0.45
6,20,36,-73.12208238577549,1.6779960618421,0.44505,0.0,0.39999999999999997
6,20,37,-56.158812375933344,-0.05186385193508243,0.8646525,0.0046074999999998765,0.3499999999999999
6,20,38,-54.96018726525712,-1.6314122709435759,0.8646525,0.0046074999999998765,0.3000000000000001
6,20,39,-54.2046896144035,0.7994402669799014,0.8646525,0.0046074999999998765,0.25000000000000006
6,20,40,-54.14128739939951,1.6085639273223016,0.8646525,0.0046074999999998765,0.19999999999999998
6,20,41,-54.189560027320525,0.822719725490528,0.8646525,0.0046074999999998765,0.14999999999999994
6,20,42,-54.9903252366116,-1.7063435796083901,0.8646525,0.0046074999999998765,0.09999999999999999
6,20,43,-56.27172615446987,0.08733384023157269,0.8646525,0.0046074999999998765,0.04999999999999994
7,20,22,-52.4517972246771,0.32912900330070366,0.8229925,0.1618875,0.07499999999999997
7,20,24,-52.72121589156798,0.11121365684203527,0.3000000000000001,0.28643749999999996,0.45
7,20,25,-52.13771457362356,-1.3966333556328085,0.3000000000000001,0.28643749999999996,0.39999999999999997
7,20,26,-51.463317218574375,1.2670513290046286,0.3000000000000001,0.28643749999999996,0.3499999999999999
7,20,28,-50.772340127387366,1.6945411557102343,0.3000000000000001,0.28643749999999996,0.3000000000000001
7,20,29,-50.68457737819266,-0.4167362732527701,0.3000000000000001,0.28643749999999996,0.25000000000000006
7,20,30,-50.50074321568811,1.0155736313776256,0.3000000000000001,0.28643749999999996,0.19999999999999998
7,20,31,-50.499167523936954,-0.3914336536515834,0.3000000000000001,0.28643749999999996,0.14999999999999994
7,20,32,-50.829315017844834,1.7106170358139015,0.3000000000000001,0.28643749999999996,0.09999999999999999
7,20,33,-51.47746889679384,1.295258043273048,0.3000000000000001,0.28643749999999996,0.04999999999999994
7,20,34,-51.99050009350378,-1.4284866303671804,0.3000000000000001,0.28643749999999996,0.0
7,20,35,-55.78264792035027,-0.12737777850452425,0.49505000000000005,0.0,0.45
7,20,36,-75.01749943551317,-1.4966744121672748,0.49505000000000005,0.0,0.39999999999999997
7,20,37,-55.46616342022895,1.7557449860917822,0.9146525000000001,0.0046074999999998765,0.3499999999999999
7,20,38,-55.649512593819246,-0.30003906403521763,0.9146525000000001,0.0046074999999998765,0.3000000000000001
7,20,39,-55.84591676309075,2.1903682802020996,0.9146525000000001,0.0046074999999998765,0.25000000000000006
7,20,40,-56.32698013402646,3.0413540333707707,0.9146525000000001,0.0046074999999998765,0.19999999999999998
7,20,41,-55.81383088965922,2.231359722955752,0.9146525000000001,0.0046074999999998765,0.14999999999999994
7,20,42,-55.50548637040505,-0.2670452425508772,0.9146525000000001,0.0046074999999998765,0.09999999999999999
7,20,43,-55.8964075265247,1.7500500847683256,0.9146525000000001,0.0046074999999998765,0.04999999999999994
8,20,22,-54.04296541441439,3.0390598342345383,0.07299250000000003,0.2868875,0.07499999999999997
8,20,24,-51.46337869517212,-0.2961664704480458,0.35000000000000003,0.28643749999999996,0.45
8,20,25,-51.07415026161965,-1.198083943895494,0.35000000000000003,0.28643749999999996,0.39999999999999997
8,20,26,-50.712332563394554,2.212226565159391,0.35000000000000003,0.28643749999999996,0.3499999999999999
8,20,28,-50.19689829682185,3.1328654816381483,0.35000000000000003,0.28643749999999996,0.3000000000000001
8,20,29,-49.85891196503929,1.5266102643592214,0.35000000000000003,0.28643749999999996,0.25000000000000006
8,20,30,-49.50767390770107,3.0346021846806126,0.35000000000000003,0.28643749999999996,0.19999999999999998
8,20,31,-49.902311594958455,1.5472627905545304,0.35000000000000003,0.28643749999999996,0.14999999999999994
8,20,32,-50.176815746273455,3.1106335421072995,0.35000000000000003,0.28643749999999996,0.09999999999999999
8,20,33,-50.67294579448078,2.199583359657013,0.35000000000000003,0.28643749999999996,0.04999999999999994
